EstimatedSalary,0,1,All
3298.65,1,0,1
3299.01,1,0,1
3342.62,1,0,1
3363.36,1,0,1
3385.04,1,0,1
3408.7,1,0,1
3414.72,1,0,1
3430.38,1,0,1
3440.47,0,1,1
3449.22,1,0,1
3453.4,1,0,1
3472.63,0,1,1
3476.38,1,0,1
3494.02,1,0,1
3497.43,0,1,1
3510.18,1,0,1
3524.69,1,0,1
3529.72,1,0,1
3554.63,1,0,1
3560.0,1,0,1
3626.47,1,0,1
3647.57,1,0,1
3674.71,1,0,1
3701.63,1,0,1
3710.34,1,0,1
3729.89,1,0,1
3740.93,1,0,1
3749.0,0,1,1
3756.23,1,0,1
3756.65,1,0,1
3769.71,1,0,1
3797.79,1,0,1
3815.48,1,0,1
3829.13,1,0,1
3830.59,1,0,1
3837.08,1,0,1
3894.34,1,0,1
3896.08,1,0,1
3937.37,1,0,1
3939.87,1,0,1
3946.29,1,0,1
3965.69,1,0,1
3966.5,0,1,1
4027.02,1,0,1
4033.39,0,1,1
4035.46,1,0,1
4050.57,1,0,1
4070.28,1,0,1
4082.52,1,0,1
4092.75,1,0,1
4121.04,0,1,1
4175.68,1,0,1
4176.17,0,1,1
4195.84,1,0,1
4225.11,1,0,1
4272.0,1,0,1
4292.72,1,0,1
4389.4,1,0,1
4395.45,1,0,1
4400.32,1,0,1
4410.77,1,0,1
4423.63,1,0,1
4441.54,1,0,1
4459.5,1,0,1
4460.2,1,0,1
4466.21,1,0,1
4470.52,1,0,1
4491.77,1,0,1
4493.12,1,0,1
4497.55,1,0,1
4523.74,0,1,1
4525.4,1,0,1
4539.38,1,0,1
4554.67,1,0,1
4595.05,1,0,1
4606.97,1,0,1
4654.28,1,0,1
4660.91,1,0,1
4696.44,1,0,1
4700.66,1,0,1
4721.3,1,0,1
4733.94,1,0,1
4777.23,1,0,1
4791.8,1,0,1
4798.12,1,0,1
4802.25,1,0,1
4802.27,1,0,1
4859.59,0,1,1
4861.72,0,1,1
4888.91,1,0,1
4896.11,0,1,1
4969.13,0,1,1
4989.33,1,0,1
4993.94,1,0,1
5008.23,0,1,1
5036.39,0,1,1
5066.76,1,0,1
5075.17,0,1,1
5078.9,1,0,1
5097.67,0,1,1
5104.08,0,1,1
5159.21,0,1,1
5177.62,1,0,1
5194.95,1,0,1
5199.02,1,0,1
5240.53,1,0,1
5278.78,1,0,1
5353.12,1,0,1
5388.3,1,0,1
5408.74,0,1,1
5419.31,1,0,1
5459.07,0,1,1
5472.7,0,1,1
5549.11,0,1,1
5552.37,1,0,1
5557.88,0,1,1
5558.47,0,1,1
5566.6,1,0,1
5571.59,1,0,1
5597.94,1,0,1
5635.63,1,0,1
5669.31,0,1,1
5684.17,0,1,1
5698.97,1,0,1
5708.19,1,0,1
5719.11,1,0,1
5768.32,1,0,1
5771.56,1,0,1
5790.9,0,1,1
5791.85,1,0,1
5811.9,0,1,1
5831.0,0,1,1
5862.53,0,1,1
5893.23,0,1,1
5907.11,1,0,1
5924.38,0,1,1
5962.3,1,0,1
5967.09,1,0,1
5978.2,1,0,1
5983.7,1,0,1
5985.36,1,0,1
6009.27,0,1,1
6035.51,1,0,1
6057.81,1,0,1
6075.36,1,0,1
6076.62,1,0,1
6078.46,1,0,1
6089.13,1,0,1
6101.41,1,0,1
6120.84,1,0,1
6123.15,1,0,1
6129.61,0,1,1
6139.74,1,0,1
6175.53,1,0,1
6177.83,1,0,1
6203.66,1,0,1
6209.51,0,1,1
6225.63,1,0,1
6232.31,1,0,1
6251.3,1,0,1
6342.84,0,1,1
6382.46,1,0,1
6409.55,1,0,1
6416.92,1,0,1
6468.24,1,0,1
6534.18,1,0,1
6554.97,0,1,1
6589.16,0,1,1
6656.64,1,0,1
6723.66,1,0,1
6726.53,1,0,1
6761.84,1,0,1
6770.44,1,0,1
6776.92,1,0,1
6787.48,1,0,1
6795.61,1,0,1
6847.73,1,0,1
6865.41,0,1,1
6866.31,1,0,1
6923.11,1,0,1
6930.17,1,0,1
6935.31,1,0,1
6936.27,1,0,1
6947.09,1,0,1
6959.0,1,0,1
6975.02,1,0,1
6981.43,0,1,1
6985.34,0,1,1
7008.65,1,0,1
7032.95,1,0,1
7034.94,1,0,1
7035.36,1,0,1
7063.6,1,0,1
7103.71,1,0,1
7118.02,1,0,1
7144.46,1,0,1
7156.09,1,0,1
7166.71,1,0,1
7222.92,1,0,1
7267.25,1,0,1
7278.57,1,0,1
7312.25,0,1,1
7330.59,1,0,1
7387.8,0,1,1
7415.96,1,0,1
7418.92,1,0,1
7455.2,1,0,1
7554.68,1,0,1
7571.51,0,1,1
7597.83,0,1,1
7611.61,0,1,1
7631.27,1,0,1
7666.73,1,0,1
7667.48,1,0,1
7680.23,1,0,1
7698.6,1,0,1
7797.01,1,0,1
7819.76,1,0,1
7820.78,1,0,1
7824.31,1,0,1
7861.68,0,1,1
7900.46,1,0,1
7905.06,0,1,1
7919.08,1,0,1
7921.57,1,0,1
7926.35,0,1,1
7953.62,0,1,1
8018.49,1,0,1
8037.03,1,0,1
8059.44,0,1,1
8065.0,1,0,1
8080.85,0,1,1
8125.39,1,0,1
8128.32,0,1,1
8199.5,1,0,1
8207.36,1,0,1
8214.41,1,0,1
8214.46,1,0,1
8222.96,1,0,1
8227.91,1,0,1
8236.78,1,0,1
8247.0,1,0,1
8270.06,1,0,1
8282.22,1,0,1
8316.19,1,0,1
8342.35,1,0,1
8404.73,1,0,1
8444.5,1,0,1
8487.75,1,0,1
8546.87,0,1,1
8555.73,1,0,1
8559.66,1,0,1
8567.18,1,0,1
8590.83,0,1,1
8636.05,0,1,1
8643.21,1,0,1
8646.58,1,0,1
8651.92,0,1,1
8673.43,1,0,1
8693.8,1,0,1
8742.36,1,0,1
8742.91,1,0,1
8751.59,1,0,1
8755.69,0,1,1
8757.39,1,0,1
8763.87,1,0,1
8788.35,1,0,1
8814.69,1,0,1
8816.37,1,0,1
8877.06,1,0,1
8908.0,1,0,1
8949.2,1,0,1
8973.67,0,1,1
8982.75,1,0,1
8991.17,1,0,1
8996.79,1,0,1
8996.97,1,0,1
9002.8,1,0,1
9015.07,1,0,1
9041.71,1,0,1
9085.0,1,0,1
9087.81,1,0,1
9149.96,0,1,1
9170.54,1,0,1
9181.66,1,0,1
9200.54,1,0,1
9201.53,1,0,1
9209.21,1,0,1
9217.55,0,1,1
9217.92,1,0,1
9221.78,0,1,1
9234.06,1,0,1
9238.35,1,0,1
9241.52,1,0,1
9241.78,1,0,1
9241.83,0,1,1
9249.36,1,0,1
9262.77,1,0,1
9308.1,0,1,1
9324.31,0,1,1
9376.89,1,0,1
9398.45,1,0,1
9439.31,0,1,1
9443.15,1,0,1
9445.42,0,1,1
9452.88,0,1,1
9468.64,1,0,1
9497.99,0,1,1
9541.15,1,0,1
9551.49,1,0,1
9561.73,1,0,1
9567.39,1,0,1
9574.83,1,0,1
9578.24,1,0,1
9596.4,1,0,1
9607.1,1,0,1
9617.24,1,0,1
9633.01,1,0,1
9641.4,1,0,1
9658.41,1,0,1
9663.28,1,0,1
9677.0,1,0,1
9679.28,1,0,1
9684.52,1,0,1
9692.58,1,0,1
9704.66,1,0,1
9712.52,0,1,1
9751.03,1,0,1
9770.97,1,0,1
9796.69,1,0,1
9854.72,0,1,1
9855.81,1,0,1
9902.39,1,0,1
9903.42,1,0,1
9904.63,1,0,1
9972.64,1,0,1
9983.88,1,0,1
9984.4,1,0,1
10008.68,1,0,1
10014.72,0,1,1
10023.15,1,0,1
10034.77,0,1,1
10054.53,1,0,1
10062.8,1,0,1
10063.75,1,0,1
10070.4,0,1,1
10072.55,0,1,1
10074.05,1,0,1
10078.02,1,0,1
10096.25,1,0,1
10109.47,1,0,1
10137.34,0,1,1
10160.23,1,0,1
10209.8,1,0,1
10288.24,1,0,1
10333.78,1,0,1
10334.05,1,0,1
10350.74,1,0,1
10357.03,1,0,1
10417.87,1,0,1
10472.31,1,0,1
10486.69,1,0,1
10488.44,1,0,1
10494.64,1,0,1
10511.13,1,0,1
10541.38,1,0,1
10553.31,1,0,1
10579.72,1,0,1
10598.29,1,0,1
10604.48,1,0,1
10625.91,1,0,1
10627.21,1,0,1
10643.38,1,0,1
10656.89,1,0,1
10662.58,1,0,1
10666.05,1,0,1
10672.54,1,0,1
10674.62,1,0,1
10703.53,0,1,1
10712.82,1,0,1
10722.54,1,0,1
10771.46,1,0,1
10772.13,1,0,1
10779.69,1,0,1
10789.3,1,0,1
10792.42,1,0,1
10804.04,1,0,1
10828.78,1,0,1
10842.46,1,0,1
10883.52,1,0,1
10899.63,0,1,1
10908.33,1,0,1
10921.5,1,0,1
10928.3,1,0,1
10940.4,1,0,1
10956.82,1,0,1
10958.18,1,0,1
10963.04,1,0,1
11043.54,1,0,1
11144.4,1,0,1
11159.19,1,0,1
11199.04,0,1,1
11205.5,1,0,1
11276.48,1,0,1
11302.7,0,1,1
11384.45,0,1,1
11407.58,1,0,1
11417.26,1,0,1
11426.7,1,0,1
11467.38,1,0,1
11514.39,1,0,1
11525.72,1,0,1
11597.69,1,0,1
11631.34,1,0,1
11638.17,1,0,1
11663.09,1,0,1
11682.36,1,0,1
11710.4,0,1,1
11723.57,1,0,1
11743.89,1,0,1
11779.98,0,1,1
11783.1,0,1,1
11796.89,1,0,1
11819.84,1,0,1
11830.53,1,0,1
11865.76,1,0,1
11950.29,1,0,1
11959.03,1,0,1
12016.79,1,0,1
12048.67,1,0,1
12050.77,1,0,1
12067.39,1,0,1
12092.03,1,0,1
12096.61,0,1,1
12099.67,1,0,1
12106.82,0,1,1
12120.79,1,0,1
12128.69,1,0,1
12148.2,1,0,1
12156.93,0,1,1
12162.76,1,0,1
12182.15,1,0,1
12186.83,1,0,1
12266.06,1,0,1
12328.08,1,0,1
12351.01,1,0,1
12368.11,1,0,1
12405.2,1,0,1
12409.01,1,0,1
12429.22,1,0,1
12440.44,1,0,1
12457.76,0,1,1
12465.51,1,0,1
12470.3,1,0,1
12483.39,0,1,1
12483.56,1,0,1
12493.61,1,0,1
12510.53,1,0,1
12513.07,1,0,1
12537.42,1,0,1
12538.92,1,0,1
12577.21,0,1,1
12599.94,0,1,1
12628.61,0,1,1
12639.67,0,1,1
12674.68,1,0,1
12706.67,1,0,1
12757.14,1,0,1
12761.16,1,0,1
12766.74,1,0,1
12796.43,1,0,1
12799.23,1,0,1
12833.96,1,0,1
12847.61,0,1,1
12873.39,1,0,1
12905.89,0,1,1
12913.92,1,0,1
12916.32,0,1,1
12920.43,1,0,1
12944.17,0,1,1
13007.89,1,0,1
13018.96,1,0,1
13054.25,1,0,1
13066.3,1,0,1
13107.24,1,0,1
13123.41,1,0,1
13126.9,1,0,1
13133.88,1,0,1
13159.9,1,0,1
13160.03,1,0,1
13161.66,0,1,1
13177.4,1,0,1
13181.37,0,1,1
13182.43,1,0,1
13197.44,1,0,1
13210.56,1,0,1
13218.6,1,0,1
13221.25,1,0,1
13228.93,0,1,1
13238.93,1,0,1
13288.46,0,1,1
13308.2,0,1,1
13387.88,1,0,1
13404.4,1,0,1
13411.67,1,0,1
13455.43,1,0,1
13460.27,1,0,1
13464.64,0,1,1
13482.28,1,0,1
13549.24,1,0,1
13549.34,1,0,1
13566.48,0,1,1
13589.93,1,0,1
13591.52,1,0,1
13601.79,1,0,1
13608.18,1,0,1
13614.01,0,1,1
13624.02,1,0,1
13783.77,0,1,1
13813.24,1,0,1
13848.58,1,0,1
13858.95,1,0,1
13871.34,1,0,1
13889.73,1,0,1
13892.57,1,0,1
13898.31,1,0,1
13906.34,1,0,1
13911.27,0,1,1
13921.82,0,1,1
13935.32,1,0,1
13935.53,0,1,1
13946.66,1,0,1
13998.88,1,0,1
13999.64,0,1,1
14032.62,0,1,1
14073.11,1,0,1
14081.64,1,0,1
14083.12,1,0,1
14090.4,0,1,1
14109.85,0,1,1
14113.11,1,0,1
14121.61,1,0,1
14152.15,1,0,1
14161.3,1,0,1
14174.09,1,0,1
14178.73,1,0,1
14187.78,1,0,1
14217.77,0,1,1
14234.31,1,0,1
14278.18,1,0,1
14279.44,1,0,1
14288.93,1,0,1
14353.43,0,1,1
14357.0,1,0,1
14374.86,0,1,1
14379.01,1,0,1
14392.68,1,0,1
14406.41,1,0,1
14466.08,1,0,1
14479.29,1,0,1
14490.79,1,0,1
14496.67,1,0,1
14546.76,1,0,1
14559.62,1,0,1
14608.0,0,1,1
14633.35,1,0,1
14665.28,1,0,1
14666.35,0,1,1
14679.81,0,1,1
14721.8,1,0,1
14725.36,1,0,1
14781.12,1,0,1
14789.9,1,0,1
14828.54,1,0,1
14858.1,1,0,1
14865.05,1,0,1
14868.94,0,1,1
14917.09,1,0,1
14928.8,1,0,1
14956.44,1,0,1
15034.93,1,0,1
15039.41,1,0,1
15068.18,1,0,1
15068.53,0,1,1
15118.2,1,0,1
15120.86,1,0,1
15126.32,0,1,1
15142.1,0,1,1
15200.61,1,0,1
15216.53,1,0,1
15246.83,1,0,1
15304.08,1,0,1
15306.29,1,0,1
15336.4,1,0,1
15360.91,1,0,1
15378.23,1,0,1
15378.75,1,0,1
15404.64,1,0,1
15462.84,1,0,1
15467.98,1,0,1
15470.91,1,0,1
15523.09,0,1,1
15602.8,1,0,1
15607.27,1,0,1
15627.51,1,0,1
15650.73,1,0,1
15650.89,1,0,1
15658.99,1,0,1
15669.17,1,0,1
15705.27,1,0,1
15733.19,1,0,1
15766.1,1,0,1
15795.88,0,1,1
15796.66,1,0,1
15798.7,1,0,1
15801.02,1,0,1
15807.07,1,0,1
15832.43,0,1,1
15846.42,1,0,1
15859.95,1,0,1
15876.52,1,0,1
15887.68,1,0,1
15928.49,1,0,1
15959.01,1,0,1
16025.17,0,1,1
16064.25,0,1,1
16081.62,1,0,1
16119.96,0,1,1
16146.0,1,0,1
16149.13,1,0,1
16150.34,1,0,1
16161.82,1,0,1
16245.25,1,0,1
16246.59,1,0,1
16250.61,1,0,1
16259.64,0,1,1
16274.67,1,0,1
16278.97,1,0,1
16281.68,0,1,1
16281.94,1,0,1
16287.38,1,0,1
16301.91,1,0,1
16319.56,1,0,1
16392.72,0,1,1
16402.11,1,0,1
16403.41,1,0,1
16436.56,1,0,1
16445.79,1,0,1
16447.6,0,1,1
16459.37,1,0,1
16460.77,1,0,1
16481.12,1,0,1
16491.64,1,0,1
16500.66,0,1,1
16528.4,0,1,1
16607.15,1,0,1
16618.76,1,0,1
16644.16,1,0,1
16645.77,0,1,1
16649.31,0,1,1
16657.68,0,1,1
16658.76,1,0,1
16717.11,0,1,1
16725.53,1,0,1
16733.59,1,0,1
16770.31,0,1,1
16870.2,1,0,1
16874.92,1,0,1
16897.19,1,0,1
16910.98,1,0,1
16922.28,0,1,1
16929.41,0,1,1
16957.45,1,0,1
16966.73,1,0,1
16989.77,1,0,1
16998.72,1,0,1
17004.14,1,0,1
17013.54,1,0,1
17034.37,1,0,1
17040.82,1,0,1
17095.49,1,0,1
17104.0,1,0,1
17128.64,1,0,1
17135.6,1,0,1
17160.94,0,1,1
17163.75,1,0,1
17185.95,0,1,1
17242.79,1,0,1
17257.72,1,0,1
17268.02,1,0,1
17294.12,1,0,1
17298.72,0,1,1
17323.0,0,1,1
17348.56,1,0,1
17355.36,1,0,1
17375.27,0,1,1
17376.57,0,1,1
17384.21,1,0,1
17439.66,1,0,1
17512.53,1,0,1
17536.82,1,0,1
17550.49,1,0,1
17603.81,1,0,1
17622.82,1,0,1
17671.78,1,0,1
17675.36,1,0,1
17682.02,0,1,1
17696.22,1,0,1
17699.48,1,0,1
17744.72,1,0,1
17802.42,1,0,1
17818.33,1,0,1
17848.3,1,0,1
17913.25,1,0,1
17938.0,1,0,1
17941.16,0,1,1
17974.08,1,0,1
17978.68,0,1,1
17987.4,0,1,1
17992.94,1,0,1
17993.43,1,0,1
18066.69,1,0,1
18082.06,1,0,1
18094.96,0,1,1
18149.03,1,0,1
18203.0,1,0,1
18210.36,1,0,1
18254.75,1,0,1
18255.51,1,0,1
18260.98,0,1,1
18364.19,1,0,1
18369.33,1,0,1
18391.93,1,0,1
18424.24,0,1,1
18458.2,1,0,1
18461.9,1,0,1
18471.86,1,0,1
18510.41,1,0,1
18522.91,0,1,1
18581.84,1,0,1
18606.23,1,0,1
18613.52,1,0,1
18633.4,0,1,1
18657.77,1,0,1
18708.76,1,0,1
18719.67,1,0,1
18732.84,1,0,1
18732.91,1,0,1
18761.92,0,1,1
18772.5,0,1,1
18785.48,1,0,1
18800.13,1,0,1
18826.06,1,0,1
18826.34,1,0,1
18897.29,1,0,1
18897.78,1,0,1
18917.95,1,0,1
18922.18,0,1,1
18924.92,1,0,1
18986.12,1,0,1
18988.58,1,0,1
19047.23,1,0,1
19116.97,1,0,1
19131.71,1,0,1
19150.14,1,0,1
19162.89,1,0,1
19199.61,1,0,1
19225.85,1,0,1
19231.98,1,0,1
19233.41,1,0,1
19244.58,1,0,1
19262.05,1,0,1
19264.33,1,0,1
19282.85,1,0,1
19283.14,1,0,1
19287.06,0,1,1
19302.78,1,0,1
19324.5,1,0,1
19344.92,1,0,1
19367.98,0,1,1
19370.73,1,0,1
19374.08,1,0,1
19376.56,0,1,1
19409.77,1,0,1
19412.8,0,1,1
19448.93,0,1,1
19458.75,1,0,1
19482.5,1,0,1
19483.35,1,0,1
19500.1,1,0,1
19512.38,1,0,1
19515.48,1,0,1
19525.65,1,0,1
19570.63,1,0,1
19596.73,1,0,1
19605.18,0,1,1
19632.64,0,1,1
19645.65,1,0,1
19653.08,1,0,1
19658.43,1,0,1
19687.99,1,0,1
19700.24,1,0,1
19720.08,1,0,1
19762.88,1,0,1
19793.73,0,1,1
19799.26,1,0,1
19823.02,1,0,1
19825.09,1,0,1
19834.32,1,0,1
19842.11,1,0,1
19842.18,1,0,1
19842.22,1,0,1
19862.78,1,0,1
19921.72,1,0,1
19959.67,1,0,1
19998.31,1,0,1
20008.46,1,0,1
20016.59,1,0,1
20018.79,1,0,1
20058.61,1,0,1
20063.63,0,1,1
20066.38,1,0,1
20081.3,1,0,1
20092.89,1,0,1
20109.21,1,0,1
20134.07,1,0,1
20164.47,1,0,1
20199.3,1,0,1
20207.02,1,0,1
20243.97,0,1,1
20276.87,0,1,1
20306.79,1,0,1
20339.79,0,1,1
20344.02,1,0,1
20344.84,1,0,1
20346.69,1,0,1
20367.68,1,0,1
20388.77,1,0,1
20393.44,1,0,1
20432.09,0,1,1
20451.99,0,1,1
20460.2,1,0,1
20491.15,1,0,1
20492.16,1,0,1
20508.85,1,0,1
20510.79,1,0,1
20515.72,1,0,1
20555.21,1,0,1
20560.69,1,0,1
20598.59,0,1,1
20603.32,1,0,1
20612.82,1,0,1
20629.4,0,1,1
20652.69,1,0,1
20670.1,1,0,1
20682.46,1,0,1
20708.6,1,0,1
20734.81,1,0,1
20769.88,1,0,1
20778.39,1,0,1
20856.31,1,0,1
20881.96,1,0,1
20893.61,1,0,1
20940.76,1,0,1
20955.03,0,1,1
20968.88,1,0,1
20973.8,1,0,1
21006.1,0,1,1
21007.96,1,0,1
21016.0,1,0,1
21038.58,0,1,1
21063.71,0,1,1
21085.12,1,0,1
21085.17,0,1,1
21170.81,1,0,1
21177.1,1,0,1
21198.39,1,0,1
21215.67,1,0,1
21228.34,0,1,1
21228.71,0,1,1
21254.06,1,0,1
21312.16,0,1,1
21333.22,1,0,1
21343.74,1,0,1
21360.88,1,0,1
21439.49,1,0,1
21472.42,1,0,1
21478.36,1,0,1
21497.27,1,0,1
21521.38,1,0,1
21556.95,1,0,1
21597.2,1,0,1
21600.11,1,0,1
21630.21,1,0,1
21645.06,1,0,1
21646.2,1,0,1
21760.96,1,0,1
21768.21,1,0,1
21785.91,1,0,1
21793.59,1,0,1
21807.16,1,0,1
21834.4,0,1,1
21852.91,1,0,1
21858.28,1,0,1
21859.06,1,0,1
21862.19,1,0,1
21903.62,0,1,1
21928.81,1,0,1
21967.15,1,0,1
22001.91,1,0,1
22026.18,1,0,1
22030.72,1,0,1
22068.83,0,1,1
22074.48,1,0,1
22095.73,1,0,1
22101.86,1,0,1
22102.25,0,1,1
22113.93,1,0,1
22184.14,1,0,1
22191.82,1,0,1
22197.8,0,1,1
22247.27,1,0,1
22299.27,1,0,1
22303.17,1,0,1
22314.55,1,0,1
22356.97,1,0,1
22357.25,1,0,1
22372.78,1,0,1
22374.97,1,0,1
22375.14,1,0,1
22388.0,1,0,1
22404.64,1,0,1
22442.13,1,0,1
22447.85,0,1,1
22457.25,0,1,1
22485.64,1,0,1
22487.45,1,0,1
22497.1,0,1,1
22499.29,1,0,1
22512.44,0,1,1
22527.27,1,0,1
22558.74,1,0,1
22614.19,1,0,1
22666.77,0,1,1
22684.78,1,0,1
22698.56,1,0,1
22710.72,1,0,1
22735.45,1,0,1
22736.06,1,0,1
22745.5,1,0,1
22750.17,1,0,1
22762.23,1,0,1
22832.71,0,1,1
22835.13,0,1,1
22878.16,0,1,1
22909.56,1,0,1
22929.08,1,0,1
22974.01,1,0,1
22994.32,1,0,1
23054.51,0,1,1
23067.97,1,0,1
23101.13,1,0,1
23129.46,1,0,1
23132.73,1,0,1
23135.65,0,1,1
23140.28,0,1,1
23146.62,1,0,1
23180.37,1,0,1
23231.93,1,0,1
23235.38,1,0,1
23237.25,1,0,1
23291.83,1,0,1
23305.01,1,0,1
23305.85,1,0,1
23315.59,1,0,1
23317.88,1,0,1
23343.18,1,0,1
23344.94,1,0,1
23386.77,0,1,1
23399.58,1,0,1
23425.78,1,0,1
23481.69,0,1,1
23491.09,1,0,1
23531.5,1,0,1
23548.45,0,1,1
23596.24,1,0,1
23598.23,0,1,1
23631.55,1,0,1
23702.42,1,0,1
23703.52,1,0,1
23766.4,1,0,1
23768.01,1,0,1
23822.04,1,0,1
23860.5,1,0,1
23864.21,1,0,1
23881.62,1,0,1
23904.52,1,0,1
23920.65,1,0,1
23970.13,1,0,1
23971.33,1,0,1
23974.85,1,0,1
24020.49,1,0,1
24093.4,0,1,1
24113.91,1,0,1
24156.03,1,0,1
24176.44,1,0,1
24207.86,0,1,1
24208.84,0,1,1
24210.56,1,0,1
24218.65,1,0,1
24234.11,1,0,1
24255.21,1,0,1
24267.28,1,0,1
24275.32,1,0,1
24302.95,1,0,1
24400.37,1,0,1
24402.87,1,0,1
24411.02,1,0,1
24435.77,1,0,1
24472.23,1,0,1
24482.16,1,0,1
24489.44,1,0,1
24495.03,1,0,1
24499.97,1,0,1
24506.95,0,1,1
24533.89,0,1,1
24564.7,1,0,1
24577.34,1,0,1
24677.54,1,0,1
24734.25,1,0,1
24748.89,1,0,1
24761.36,1,0,1
24765.53,0,1,1
24770.22,0,1,1
24780.13,1,0,1
24799.47,1,0,1
24802.77,1,0,1
24847.02,1,0,1
24857.25,1,0,1
24865.54,1,0,1
24903.09,1,0,1
24924.92,2,0,2
24938.84,1,0,1
24983.39,1,0,1
24991.92,1,0,1
24998.75,0,1,1
25017.28,1,0,1
25042.1,1,0,1
25059.05,1,0,1
25059.06,1,0,1
25095.03,1,0,1
25101.17,1,0,1
25136.95,0,1,1
25161.61,1,0,1
25165.36,0,1,1
25183.01,1,0,1
25222.6,0,1,1
25289.23,1,0,1
25292.53,1,0,1
25310.82,1,0,1
25325.07,1,0,1
25329.48,1,0,1
25333.03,0,1,1
25339.29,1,0,1
25395.83,1,0,1
25399.7,1,0,1
25407.59,1,0,1
25438.87,1,0,1
25445.0,1,0,1
25448.31,1,0,1
25482.62,1,0,1
25488.43,0,1,1
25514.77,1,0,1
25548.47,1,0,1
25554.4,1,0,1
25571.37,1,0,1
25650.04,1,0,1
25662.27,1,0,1
25669.1,1,0,1
25684.85,1,0,1
25684.93,1,0,1
25722.28,0,1,1
25723.73,1,0,1
25744.13,0,1,1
25803.59,0,1,1
25843.7,0,1,1
25858.68,1,0,1
25867.67,0,1,1
25881.0,0,1,1
25885.72,1,0,1
25887.89,0,1,1
25899.21,0,1,1
25904.12,1,0,1
25950.49,1,0,1
25951.91,1,0,1
25980.42,0,1,1
26015.8,1,0,1
26019.59,1,0,1
26022.37,1,0,1
26025.6,0,1,1
26057.08,1,0,1
26080.54,0,1,1
26106.39,0,1,1
26116.82,1,0,1
26136.13,1,0,1
